Lat,Long,geometry
43.6818047,-79.4132919,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6818123,-79.418396,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6818695,-79.3966141,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6819115,-79.431221,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6819267,-79.4178085,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6820221,-79.4021225,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6821022,-79.4313049,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6821404,-79.4166565,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6821442,-79.4234543,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6821518,-79.3916321,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6821899,-79.4189148,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6822014,-79.4232101,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6823044,-79.4264603,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6824303,-79.4335556,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6826401,-79.4315262,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6827507,-79.4295578,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.68293,-79.419548,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6829338,-79.4025192,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6829987,-79.4283981,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6831703,-79.4183044,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6833115,-79.4268799,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6833954,-79.4171448,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6834183,-79.4001694,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6835518,-79.4308624,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6835709,-79.4319153,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6836357,-79.4159241,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6837234,-79.4299469,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6839447,-79.3923874,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6839523,-79.4238968,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.684166,-79.4133911,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.684185,-79.4226913,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6843109,-79.400528,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6843414,-79.412529,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.684391,-79.4289551,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6844559,-79.4214401,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.684906,-79.4337769,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6850281,-79.4008408,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6851234,-79.4292755,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6851387,-79.4325485,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.685318,-79.4339294,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6853485,-79.428154,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6853523,-79.4079056,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6854134,-79.4192352,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6855164,-79.4305878,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6855698,-79.4461136,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6856651,-79.4063339,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6856995,-79.4116135,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6857033,-79.4246063,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6857185,-79.401123,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6857872,-79.4174118,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6858406,-79.4259109,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6859398,-79.4233932,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6859398,-79.4220734,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6860352,-79.4439697,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6860695,-79.40979,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6861458,-79.4038849,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6861916,-79.4221649,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6862411,-79.4342957,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6862564,-79.4428482,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.686306,-79.4143906,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6863747,-79.4384155,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6864853,-79.430954,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6865082,-79.4416199,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6867104,-79.4406281,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6867447,-79.4177933,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
